tahun,bulan,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah
2019,01,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-laki,
2019,01,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-laki,1
2019,01,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-laki,4
2019,01,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-laki,4
2019,01,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-laki,3
2019,01,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-laki,3
2019,01,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-laki,9
2019,01,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-laki,12
2019,01,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-laki,31
2019,01,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-laki,3
2019,01,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-laki,14
2019,01,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-laki,11
2019,01,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-laki,21
2019,01,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-laki,10
2019,01,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-laki,13
2019,01,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-laki,9
2019,01,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-laki,8
2019,01,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-laki,24
2019,01,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-laki,18
2019,01,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-laki,23
2019,01,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-laki,7
2019,01,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-laki,16
2019,01,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-laki,18
2019,01,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-laki,33
2019,01,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-laki,15
2019,01,JAKARTA PUSAT,S E N E N,SENEN,Laki-laki,11
2019,01,JAKARTA PUSAT,S E N E N,KENARI,Laki-laki,19
2019,01,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-laki,16
2019,01,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-laki,3
2019,01,JAKARTA PUSAT,S E N E N,KWITANG,Laki-laki,14
2019,01,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-laki,26
