tahun, bulan,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,1
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,1
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,1
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,1
2019,01,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,4
2019,01,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,4
2019,01,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,9
2019,01,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,7
2019,01,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,5
2019,01,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,4
2019,01,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,2
2019,01,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,6
2019,01,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,10
2019,01,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,4
2019,01,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,10
2019,01,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,8
2019,01,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,3
2019,01,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,13
2019,01,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,18
2019,01,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,7
2019,01,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,10
2019,01,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,5
2019,01,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,14
2019,01,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,6
2019,01,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,3
2019,01,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,4
2019,01,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,12
2019,01,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,11
2019,01,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,7
2019,01,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,8
2019,01,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,16
2019,01,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,8
2019,01,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,7
2019,01,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,9
2019,01,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,4
2019,01,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,4
2019,01,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,2
2019,01,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,1
2019,01,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,13
2019,01,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,4
2019,01,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,8
2019,01,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,5
2019,01,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,9
2019,01,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,3
2019,01,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,4
2019,01,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,15
2019,01,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,6
2019,01,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,20
