tahun,bulan,nama_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-laki,2
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-laki,2
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-laki,1
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-laki,3
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-laki,1
2019,01,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-laki,2
2019,01,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-laki,2
2019,01,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-laki,10
2019,01,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-laki,12
2019,01,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-laki,20
2019,01,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-laki,5
2019,01,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-laki,20
2019,01,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-laki,8
2019,01,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-laki,18
2019,01,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-laki,24
2019,01,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-laki,22
2019,01,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-laki,22
2019,01,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-laki,16
2019,01,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-laki,21
2019,01,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-laki,24
2019,01,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-laki,26
2019,01,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-laki,16
2019,01,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-laki,27
2019,01,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-laki,17
2019,01,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-laki,12
2019,01,JAKARTA PUSAT,SENEN,SENEN,Laki-laki,8
2019,01,JAKARTA PUSAT,SENEN,KENARI,Laki-laki,9
2019,01,JAKARTA PUSAT,SENEN,PASEBAN,Laki-laki,18
2019,01,JAKARTA PUSAT,SENEN,KRAMAT,Laki-laki,24
2019,01,JAKARTA PUSAT,SENEN,KWITANG,Laki-laki,9
2019,01,JAKARTA PUSAT,SENEN,BUNGUR,Laki-laki,13
2019,01,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-laki,20
2019,01,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-laki,22
2019,01,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-laki,18
2019,01,JAKARTA PUSAT,MENTENG,MENTENG,Laki-laki,5
2019,01,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-laki,12
2019,01,JAKARTA PUSAT,MENTENG,CIKINI,Laki-laki,6
